Utterance	POV Converted Text
tell CN to polish the shoes	HI CN, SCN asks you to polish the shoes
tell CN to join the MMA class	HI CN, SCN asks you to join the MMA class
ask CN how about some review videos to upload	HI CN, SCN asks how about some review videos to upload
tell CN to buy the wedding wear that is cheap	HI CN, SCN asks to buy the wedding wear that is cheap
tell CN to fix the broken bat	HI CN, SCN asks you to fix the broken bat
tell CN to go to the pediatrician for a checkup	HI CN, SCN asks you to go to the pediatrician for a checkup
ask CN how about some vegetables for lunch	HI CN, SCN asks how about some vegetables for lunch
ask CN to choose between hockey and golf as his favourite	HI CN, SCN asks you to choose between hockey and golf as his favourite
remind CN to get the cheque signed by tomorrow	HI CN, SCN reminds you to get the cheque signed by tomorrow
tell CN the electric car will be imported tomorrow morning	HI CN, SCN says that the electric car will be imported tomorrow morning
tell CN to host a party at 10am	HI CN, SCN asks you to host a party at 10am
tell CN to give some lecture on phishing	HI CN, SCN asks you to give some lecture on phishing
tell CN to buy a card reader tomorrow	HI CN, SCN asks you to buy a card reader tomorrow
remind CN to buy some confetti for the celebration	HI CN, SCN reminds you to buy some confetti for the celebration
tell CN to exchange the phone to the vendor	HI CN, SCN asks you to exchange the phone to the vendor
tell CN to buy air conditioner for the car tomorrow	HI CN, SCN asks you to buy air conditioner for the car tomorrow
remind CN to merge the image by the end of the day 	HI CN, SCN reminds you to merge the image by the end of the day
tell CN that the treasure hunt event is tomorrow evening	HI CN, SCN says that the treasure hunt event is tomorrow evening
tell CN to come for the carnival	HI CN, SCN asks you to go for the carnival
tell CN to go learn danish language today afternoon	HI CN, SCN asks you to learn danish language today afternoon
tell CN the store inauguration is scheduled tomorrow evening	HI CN, SCN says that the store inauguration is scheduled tomorrow evening
tell CN to go skiing this weekend	HI CN, SCN asks you to go skiingthis weekend
tell CN to go promoting the product	HI CN, SCN asks you to promote the product
tell CN to go see the tutor today evening	HI CN, SCN asks you to go see the tutor today evening
tell CN to do face painting this weekend	HI CN, SCN asks you to do face painting this weekend 
tell CN that the exam finishes at 8pm today	HI CN, SCN says that the exam finishes at 8pm today
tell CN to bring the certificates by 9pm	HI CN, SCN asks you to bring the certificates by 9pm
tell CN the practicals is preponed to today afternoon	HI CN, SCN says that the practicals is preponed to today afternoon
tell CN to purchase the os for the system before the end of the day	HI CN, SCN asks you to purchase the os for the system before the end of the day
tell CN to create a facebook page for the shop	HI CN, SCN asks you to create a facebook page for the shop
tell CN to go look for the coordinator today evening	HI CN, SCN asks you to go look for the coordinator today evening
tell CN that robert is acting in the movie	HI CN, SCN says that robert is acting in the movie
tell CN to go to the comic store this weekend	HI CN, SCN asks you to go to the comic store this weekend 
ask CN how about some toffees for the birthday celebration	HI CN, SCN asks you how about some toffees for the birthday celebration
tell CN that the candidates are announced tomorrow morning	HI CN, SCN says that the candidates are announced tomorrow morning
tell CN that the snowfall starts at 8pm everyday	HI CN, SCN says that the snowfall starts at 8pm everyday
tell CN to extinguish the campfire by 1pm	HI CN, SCN asks you to extinguish the campfire by 1pm
remind CN to edit the video by the end of the month 	HI CN, SCN reminds you to edit the video by the end of the month
tell CN that the get together is planned tomorrow evening	HI CN, SCN says that the get together is planned tomorrow evening
tell CN to decorate the workplace by tomorrow	HI CN, SCN asks you to decorate the workplace by tomorrow
remind CN to bring the camera for the photoshoot	HI CN, SCN reminds you to bring the camera for the photoshoot
tell CN to implement the employee proposal's at the meeting	HI CN, SCN asks you to implement the employee proposal's at the meeting
remind CN to sell the read book's at amazon	HI CN, SCN reminds you to sell the read book's at amazon
tell CN to bring his bathing towel to the swimming pool	HI CN, SCN asks you to bring your bathing towel to the swimming pool
ask CN to create a wall art in the house	HI CN, SCN asks you to create a wall art in the house
tell CN to build a statue in the school next week	HI CN, SCN asks you to build a statue in the school next week
tell CN the rocket launch is scheduled tomorrow morning	HI CN, SCN says that the rocket launch is scheduled tomorrow morning
tell CN to sow the seeds	HI CN, SCN asks to sow the seeds
tell CN to retract the proposed theory tomorrow morning	HI CN, SCN asks you to retract the proposed theory tomorrow morning
tell CN to cook the rice today	HI CN, SCN asks you to cook the rice today
tell CN to go to part time jobs in the evenings	HI CN, SCN asks you to go to part time jobs in the evenings
tell CN to come to the park tomorrow morning	HI CN, SCN asks you to go to the park tomorrow morning
tell CN to go to the petrol bunk today evening	HI CN, SCN asks you to go to the petrol bunk today evening
ask CN how about a beanie cap for winter	HI CN, SCN asks how about a beanie cap for winter
tell CN to go to the library every evening by 6pm	HI CN, SCN asks you to go to the library every evening by 6pm
tell CN to attend the online course for Machine learning next month	HI CN, SCN asks you to attend the online course for Machine learning next month
tell CN to reduce the temperature of the AC once you reach the office	HI CN, SCN asks you to reduce the temperature in AC once you reach the office
tell CN to get the table availability information from the restaurant by 12:30pm	HI CN, SCN asks you to get the table availability information from the restaurant by 12:30pm
tell CN to get his work in progress completed from the office today evening	HI CN, SCN asks you to get your work in progress completed from the office today evening
tell CN to go to the fish market today evening by 4pm	HI CN, SCN asks you to go to the fish market today evening by 4pm
tell CN to attend the republic day parade this weekend	HI CN, SCN asks you to attend the republic day parade this weekend
tell CN to download a game tomorrow evening	HI CN, SCN asks you to download a game tomorrow evening
remind CN to upgrade the desktop to game	HI CN, SCN reminds you to upgrade the desktop to game
tell CN to collect the bill by today	HI CN, SCN asks you to collect the bill by today
tell CN to go to the shop for shopping	HI CN, SCN asks you to go to the shop for shopping
tell CN that lending football courts is going to be a success	HI CN, SCN says that lending football courts is going to be a success
ask CN to plant a cactus or a aloe	HI CN, SCN asks you to plant a cactus or a aloe
tell CN to complete filling educational qualification in the form	HI CN, SCN asks you to complete filling educational qualification in the form
remind CN to provide the campus roadmap by tomorrow	HI CN, SCN reminds you to provide the campus roadmap by tomorrow
tell CN the courier will be delivered tomorrow morning	HI CN, SCN says that the courier will be delivered tomorrow morning
tell CN to take a look on the cab location status	HI CN, SCN asks you to take a look on the cab location status
tell CN to give an overview on the trial tomorrow	HI CN, SCN asks you to give an overview on the trial tomorrow
tell CN to protest against racism tomorrow	HI CN, SCN asks you to protest against racism tomorrow
remind CN to arrange the baggage for the journey	HI CN, SCN reminds you to arrange the baggage for the journey
tell CN to get license for driving the car	HI CN, SCN asks you to get license for driving the car
tell CN to take time off for two days	HI CN, SCN asks you to take time off for two days
remind CN to study the previous papers to finish the project by the end 	HI CN, SCN reminds you to study the previous papers to finish the project by the end
tell CN that the table standings will be out tomorrow morning	HI CN, SCN says that the table standings will be out tomorrow morning
tell CN to join the protest	HI CN, SCN asks you to join the protest
remind CN to collect the keys from the reception at 9am	hi CN, SCN asks you to collect the keys from the reception at 9am
remind CN to visit sara at the yakima restaurant today evening	hey CN, SCN wants you to visit sara at the yakima restaurant today evening
remind CN to replace the water in the fish tank every morning	hi CN, SCN is asking you to replace the water in the fish tank every morning
